"","x"
"1","Amegilla aeruginosa"
"2","Amegilla amecing"
"3","Amegilla asserta"
"4","Amegilla bombiformis"
"5","Amegilla chlorocyanea"
"6","Amegilla pulchra"
"7","Amegilla quadrifasciata"
"8","Andrena andbicolor"
"9","Andrena ferrugineicrus"
"10","Andrena flavipes"
"11","Andrena florea"
"12","Andrena hispania"
"13","Andrena nigroaenaea"
"14","Andrena ovatula"
"15","Andrena rhyssonota"
"16","Andrena subopaca"
"17","Andrena thoracica"
"18","Anthophora aestivalis"
"19","Anthophora atroalba"
"20","Anthophora dispar"
"21","Anthophora hispanica"
"22","Apis cerana"
"23","Apis mellifera"
"24","Apis melliferaA"
"25","Austroplebeia australis"
"26","Bombus hortorum"
"27","Bombus lapidarius"
"28","Bombus lucorum"
"29","Bombus pascuorum"
"30","Bombus pratorum"
"31","Bombus terrestris"
"32","Braunsapis brasp1"
"33","Braunsapis brasp2"
"34","Braunsapis brasp3"
"35","Callohesma calsp1"
"36","Ceratina cucurbitina"
"37","Colletes acutus"
"38","Colletes nigricans"
"39","Dasypoda cingulata"
"40","Dasypoda crassicornis"
"41","Eucera chrysopyga"
"42","Eucera elongatula"
"43","Eucera rufa"
"44","Euhesma euhsp1"
"45","Euryglossa adelaidae"
"46","Exoneura bicolor"
"47","Exoneura hamulata"
"48","Flavipanurgus venustus"
"49","Goniocolletes perfasciatus"
"50","Halictus rubicundus"
"51","Halictus scabiosae"
"52","Heriades crenulatus"
"53","Homalictus homsp1"
"54","Homalictus sphecodoides"
"55","Homalictus urbanus"
"56","Hoplitis adunca"
"57","Hylaeus amiculus"
"58","Hylaeus communis"
"59","Hylaeus elegans"
"60","Hylaeus kelvini"
"61","Hylaeus pectoralis"
"62","Hylaeus primulipictus"
"63","Hylaeus rotundiceps"
"64","Lasioglossum albocinctum"
"65","Lasioglossum bicingulatum"
"66","Lasioglossum calceatum"
"67","Lasioglossum clelandi"
"68","Lasioglossum convexum"
"69","Lasioglossum cypromicans"
"70","Lasioglossum eremaean"
"71","Lasioglossum globosum"
"72","Lasioglossum hemichalceum"
"73","Lasioglossum hiltacum"
"74","Lasioglossum imminutus"
"75","Lasioglossum lanarium"
"76","Lasioglossum lassp1"
"77","Lasioglossum lassp2"
"78","Lasioglossum lassp3"
"79","Lasioglossum lassp4"
"80","Lasioglossum lassp5"
"81","Lasioglossum lassp6"
"82","Lasioglossum lassp7"
"83","Lasioglossum lassp8"
"84","Lasioglossum lassp9"
"85","Lasioglossum leichardti"
"86","Lasioglossum leucopus"
"87","Lasioglossum leucozonium"
"88","Lasioglossum orbatum"
"89","Lasioglossum platychilum"
"90","Lasioglossum pulvitectum"
"91","Lasioglossum sulthicum"
"92","Lasioglossum villosulum"
"93","Leioproctus amabilis"
"94","Leioproctus clarki"
"95","Leioproctus flavomaculatus"
"96","Leioproctus leisp1"
"97","Leioproctus leisp3"
"98","Leioproctus obscurus"
"99","Lipotriches australica"
"100","Lipotriches ferricauda"
"101","Lipotriches flavoviridis"
"102","Lipotriches lipsp1"
"103","Lipotriches lipsp10"
"104","Lipotriches lipsp11"
"105","Lipotriches lipsp12"
"106","Lipotriches lipsp3"
"107","Lipotriches lipsp4"
"108","Lipotriches lipsp7"
"109","Lipotriches lipsp8"
"110","Lipotriches sp6"
"111","Megachile apicata"
"112","Megachile aurifrons"
"113","Megachile callura"
"114","Megachile captionis"
"115","Megachile chrysopyea"
"116","Megachile heriadiformis"
"117","Megachile maculariformis"
"118","Megachile macularisCOMPLEX"
"119","Megachile megbid"
"120","Megachile megsp1"
"121","Megachile megsp2"
"122","Megachile megsp3"
"123","Megachile megsp4"
"124","Megachile micrerythrura"
"125","Megachile oblonga"
"126","Megachile paracallida"
"127","Megachile serricauda"
"128","Megachile simplex"
"129","Megachile tenuicincta"
"130","Megachile turneri"
"131","Nomada agrestis"
"132","Nomada fucata"
"133","Nomada melathoracica"
"134","Nomada merceti"
"135","Nomia nomsp1"
"136","Osmia bicornis"
"137","Osmia submicans"
"138","Panurgus banksianus"
"139","Panurgus calcaratus"
"140","Panurgus cephalotes"
"141","Panurgus dargius"
"142","Pseudoanthidium melanorum"
"143","Sphecodes sp"
"144","Systropha planidens"
"145","Tetragonula carbonaria"
"146","Tetragonula mellipes"
"147","Thyreus nitidulus"
"148","Thyreus waroonensis"
"149","Xylocopa bombylans"
"150","Xylocopa cantabrita"
"151","Xylocopa lieftincki"
"152","Xylocopa sticticum"
"153","Xylocopa valga"
